Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
126,Dropout-LSTM+Noise(Bernoulli) (PTB),"Adji B. Dieng, Rajesh Ranganath, Jaan Altosaar, David M. Blei",2018/05/03,2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,26.0,,https://arxiv.org/pdf/1805.01500,5.10E+07,,,200,,,0.0,929000.0,5.69E+16,,929000.0,,,,66.1,0.0,1.0,0,0,Recurrent,,,,,,1,Word-level,10000,"Architecture: LSTM, LSTM with dropout; Optimizer: Average Stochastic Gradient Descent; LR Schedule: Initial learning rate of 30, divided by a factor of 1.2 if perplexity on validation set deteriorates; Training: truncated backpropagation through time; Attention: Not applicable; Regularization: Noise Injection, gradient clipping (maximum norm 0.25), Dropout (for dropout-LSTM); Special Algorithms: Noisin; Initialization: Embedding weights initialized uniformly in [-0.1, 0.1]. All other weights initialized uniformly between [-sqrt(1/H), sqrt(1/H)] where H is the number of hidden units in a layer. All biases were initialized to 0.",,,,,,,,,,
127,GRU + p-tHSM (pretrain via Brown) (PTB),"Nan Jiang, Wenge Rong, Min Gao, Yikang Shen, Zhang Xiong",2017/08/19,2017,Exploration of Tree-based Hierarchical Softmax for Recurrent Language Models,5.0,,https://www.researchgate.net/profile/Yikang-Shen-2/publication/318830618_Exploration_of_Tree-based_Hierarchical_Softmax_for_Recurrent_Language_Models/links/5b2c050aa6fdcc8506bc6f4a/Exploration-of-Tree-based-Hierarchical-Softmax-for-Recurrent-Language-Models.pdf,5.20E+06,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,6.97E+05,,,128.78,0.0,0.0,0,0,Recurrent,GRU,,,,,1,,,,,,,,,,,,,
128,L_UL-seq,"Sean Welleck, Ilia Kulikov, Stephen Roller, Emily Dinan, Kyunghyun Cho, Jason Weston",2019/08/12,2019,Neural Text Generation with Unlikelihood Training,365.0,,https://arxiv.org/abs/1908.04319,2.47E+08,,,,,,0.0,103000000.0,0.00E+00,0.0,103000000.0,WikiText-103,25.42,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/facebookresearch/unlikelihood_training,,,,1,Word-level,260000,"Architecture: 16-layer Transformer with 8 attention heads, embedding dimension 1024, and fully-connected dimension 4096; the architecture is based on Baevski and Auli (2019) but with standard embedding and softmax layers.; Optimizer: Not explicitly stated in paper, but mentions training each model on 8 GPUs; LR Schedule: Not explicitly stated, but the best validation perplexity of saved models were selected.; Training: Token-level unlikelihood training, Sequence-level unlikelihood training; Attention: Multi-head attention with 8 heads; Special Algorithms: Unlikelihood Training (LUL-token, LUL-seq, LUL-token+seq); Initialization: Not mentioned",,,,,,,,,,
129,Characterizing Verbatim Short-Term Memory in Neural Language Models (182M),"Kristijan Armeni, Christopher Honey, Tal Linzen",2022/10/24,2022,Characterizing Verbatim Short-Term Memory in Neural Language Models,3.0,1.0,https://arxiv.org/pdf/2210.13569.pdf,1.82E+08,,,,,,0.0,103000000.0,0.00E+00,,103000000.0,,41.9,,,0.0,0.0,0,0,,,https://github.com/KristijanArmeni/verbatim-memory-in-NLMs,NT Communication Science Laboratories; Tohoku University,Industry - Academia Collaboration,,1,,,"Architecture: AWD-LSTM with 3 hidden layers and 400-dimensional input embeddings, 1840-dimensional hidden states. Transformers with 1, 3, 6 and 12 layers and GPT-2 architecture; Optimizer: Unknown for LSTM (implementation from repository), Adam for Transformers; LR Schedule: Unknown for LSTM (implementation from repository), Early stopping when the loss did not decrease for at least 0.01 bits in 5 consecutive evaluations for Transformers; Training: Unknown; Attention: Multi-head attention in Transformers; Regularization: Adaptive Weight Dropping (AWD) for LSTM; Initialization: Random initialization of weights in Transformers",,,,,,,,,,
130,Frage-AWD-LSTM-MemoryAug-NeuralCache (PTB),"Ke Li, Daniel Povey, Sanjeev Khudanpur",2020/09/29,2020,Neural Language Modeling With Implicit Cache Pointers,4.0,1.0,https://arxiv.org/pdf/2009.13774,2.40E+07,,,,,,1.0,929000.0,0.00E+00,,929000.0,,,,52.5,0.0,1.0,1,0,Recurrent,,,,,,1,Word-level,10000,"Architecture: LSTM and Transformer-based language models. The architecture is enhanced with a 'pointer component' that extends the output layer to represent the L immediately preceding words in history. The 'memory augmented pointer component' introduces an additional unit to capture the burstiness of words likely to reoccur.; Optimizer: SGD (for LSTM and the described enhancements). The paper mentions that Adam was tried for Transformer LMs but SGD worked better.; LR Schedule: Not explicitly mentioned; Training: Truncated backpropagation through time (BPTT); Attention: The paper compares against and incorporates aspects of attention mechanisms (pointer networks) but does not itself explicitly use standard attention.; Regularization: Dropout (0.5 for PTB and WikiText-2, 0.1 for SWBD+Fisher), Weight tying between embedding and output matrices; Special Algorithms: Implicit Cache Pointers (pointer component and memory augmented pointer component), Memory augmentation to learn the burstiness of words; Initialization: Initial LM state for each utterance is initialized with the last LM state of the best hypothesis for the previous utterance during rescoring (state-carry)",,,,,,,,,,
131,Frage-AWD-LSTM-MemoryAug-NeuralCache (WT2),"Ke Li, Daniel Povey, Sanjeev Khudanpur",2020/09/29,2020,Neural Language Modeling With Implicit Cache Pointers,4.0,1.0,https://arxiv.org/pdf/2009.13774,3.30E+07,,,,,,1.0,2080000.0,0.00E+00,,2080000.0,,,55.6,,0.0,1.0,1,0,Recurrent,,,,,,1,,33000,"Architecture: RNNLMs (LSTM) and Transformer-based LMs. Extended output layer to represent L preceding words in history. Memory augmentation unit to learn burstiness of words.  The output is extended by a predefined size L to represent L preceding words in history.; Optimizer: SGD. For Transformer LMs, Adam was attempted but did not provide better results than SGD.; LR Schedule: Not explicitly mentioned.; Training: Truncated Backpropagation Through Time (BPTT); Attention: Not used directly, but an implicit cache pointer mechanism is introduced.; Regularization: Dropout rate 0.5 for PTB and WikiText-2, 0.1 for SWBD+Fisher, Embedding and output matrices are tied; Special Algorithms: Cache-inspired pointer mechanism:  the output is extended by a predefined size L to represent L preceding words in history.  Additional unit introduced to capture the probability that the current word may be a self-trigger.; Initialization: Initial LM state is initialized with the last LM state of the best hypothesis for the previous utterance for ASR tasks; Other: Frequency-agnostic word embeddings are incorporated into a variant of the AWD-LSTM model (Frage-AWD-LSTM)., The supervision vector is set to have additional ones in history positions where the target was previously seen (at-least-one-hot vector).",,,,,,,,,,
132,ADP-FAIRSEQ+NGRAMRES,"Huayang Li, Deng Cai, Jin Xu, Taro Watanabe",2022/10/26,2022,N-gram Is Back: Residual Learning of Neural Text Generation with n-gram Language Model,0.0,1.0,https://web.archive.org/web/20221027013457/https://arxiv.org/pdf/2210.14431.pdf,2.47E+08,2.02E+08,,UNK,,,0.0,103000000.0,#VALUE!,101000000.0,204000000.0,,18.2,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/ghrua/NgramRes,,,,1,Word-level,260000,"Architecture: Transformer, specifically a 6-layer encoder and 6-layer decoder Transformer model.; Optimizer: Not explicitly mentioned, likely the default optimizer for fairseq.; LR Schedule: Not explicitly mentioned, likely the default schedule used in fairseq.; Training: Dropout (rate 0.3), Weight decay (rate 0.001); Attention: Multi-head attention with 4 heads; Regularization: Dropout, Weight decay; Special Algorithms: N-gram Residual Learning (NGRAMRES), NGRAMRES-ANNEAL which linearly decreases the alpha value after each update; Initialization: Random Initialization; Other: Logits are combined using a weighted sum, controlled by hyperparameter alpha.",,,,,,,,,,
133,ADP-FAIRSEQ,"Huayang Li, Deng Cai, Jin Xu, Taro Watanabe",2022/10/26,2022,N-gram Is Back: Residual Learning of Neural Text Generation with n-gram Language Model,0.0,1.0,https://web.archive.org/web/20221027013457/https://arxiv.org/pdf/2210.14431.pdf,2.47E+08,1.01E+08,,UNK,,,0.0,103000000.0,#VALUE!,,103000000.0,,18.9,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/ghrua/NgramRes,,,,1,Word-level,260000,"Architecture: Transformer-XL as the base model. Uses a Transformer model with 6 encoder layers and 6 decoder layers for machine translation. In the language modeling task, GPT-2 base and Adaptive Input (ADP) models are employed.; Optimizer: Not explicitly mentioned, but uses the default hyperparameters of the chosen models, so we can assume Adam.; LR Schedule: Default hyperparameters are used, which are usually coupled to a scheduler. The NGRAMRES-ANNEAL approach decreases the value of α (a hyperparameter to control the smoothness of the logits of the n-gram distribution) linearly after each update in machine translation experiments. Alpha becomes zero after 10k steps.; Attention: Multi-head attention, number of attention heads set to 4 for machine translation with smaller IWSLT datasets (hidden size of FFN sublayers set to 1024).; Regularization: dropout rate is set to 0.3, and the weight decay rate is set to 0.001 in the translation models; Special Algorithms: Residual learning to combine the n-gram and neural LMs.  The loss function is a modified MLE loss to train the neural LM that approximates the residual function between the real-data distribution and the n-gram prediction distribution. Kneser-Ney smoothing is used in the n-gram language model component.; Initialization: Models are trained from random initialization.",,,,,,,,,,
134,Byte-mLSTM+emb+WN+VD,"Ben Krause, Liang Lu, Iain Murray, Steve Renals",2016/09/26,2016,Multiplicative LSTM for sequence modelling,216.0,,https://arxiv.org/pdf/1609.07959,4.60E+07,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,,,88.8,,1.0,1.0,0,0,Recurrent,LSTM,https://github.com/benkrause/mLSTM,,,,1,Word-level,33000,"Architecture: Multiplicative LSTM (mLSTM), combines LSTM and multiplicative recurrent neural network architectures. mLSTM has flexible input-dependent transitions. Standard LSTM cell with the output gate outside the tanh.; Optimizer: RMSprop with normalized updates (initial experiments), Adam (follow-up experiments); LR Schedule: Exponential decay (initial experiments), Linear decay (follow-up experiments); Attention: N/A; Regularization: Weight Normalization, Variational Dropout (dropout mask is shared across a sequence), Early stopping; Initialization: Scaled orthogonal initializations for the hidden weights, initial forget gate bias of 3",,,,,,,,,,
135,Multi-cell LSTM,"Thomas Cherian, Akshay Badola, Vineet Padmanabhan",2018/11/15,2018,Multi-cell LSTM Based Neural Language Model,6.0,,https://arxiv.org/pdf/1811.06477,7.20E+06,,,50,,,0.0,929000.0,2.01E+15,,929000.0,,,,77.12,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,"Architecture: 2-layer Multi-cell LSTM; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: Learning rate annealing; Training: Dropout, Back-propagation through time; Attention: Not applicable; Regularization: Dropout on all connections other than recurrent connections; Special Algorithms: Multi-cell LSTM node architecture, Multiple memory cell selection strategies: Simple Mean, Weighted Sum, Random Selection, Max Pooling, Min-Max Pooling, Learnable Weights for the cells; Initialization: Hidden states are initialized to 0; Other: Gradient Clipping",,,,,,,,,,
136,True-Regularization+Finetune+Dynamic-Eval,"Yangyang Shi, Mei-Yuh Hwang, Xin Lei, Haoyu Sheng",2019/04/08,2019,Knowledge Distillation For Recurrent Neural Network Language Modeling With Trust Regularization,24.0,,https://arxiv.org/pdf/1904.04163,7.00E+06,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,47.6,0.0,0.0,0,0,Recurrent,RNN,,,,,1,,,"Architecture: High-rank RNNLM with mixture of softmaxes (MoS); Optimizer: Not explicitly stated, but the techniques closely follow Merity et al. (2017), which used SGD with momentum.; LR Schedule: Not explicitly stated, but the techniques closely follow Merity et al. (2017).; Training: Knowledge Distillation, Trust Regularization; Attention: Not applicable; Regularization: DropConnect, Variational Dropout, Embedding Dropout, Activation Regularization (for teacher model only); Special Algorithms: Trust Regularization (TR) method; Initialization: Initialized with different random seeds.; Other: Mixture of Softmaxes (MoS)",,,,,,,,,,
137,Monarch-GPT-2-Medium,"Tri Dao, Beidi Chen, Nimit Sohoni, Arjun Desai, Michael Poli, Jessica Grogan, Alexander Liu, Aniruddh Rao, Atri Rudra, Christopher Ré",2022/04/01,2022,Monarch: Expressive Structured Matrices for Efficient and Accurate Training,28.0,,https://arxiv.org/pdf/2204.00595,1.65E+08,,,110,,,0.0,4000000000.0,4.36E+20,,4000000000.0,,20.3,,,0.0,1.0,0,0,Transformer,GPT,https://github.com/HazyResearch/monarch,University of Texas at Austin,Academia,,1,?,?,"Architecture: Transformer; Optimizer: Adam, AdamW, LAMB; LR Schedule: Varies based on model and task (Tables 9, 10, 11). Learning rate scheduler not explicitly specified but described in Yuan et al. [107]; Training: Gradient accumulation (effective batch size is increased using gradient accumulation), Mixed precision training (fp16 and fp32); Attention: Transformer attention mechanisms (projection matrices used in attention blocks); Regularization: Dropout (some regularization strength reduction for Monarch versions), Stochastic depth (some reduction for Monarch versions); Special Algorithms: Monarch matrix parameterization, Reverse Sparsification; Initialization: Initialized randomly, IFFT initialization for mSENSE",,,,,,,,,,
138,Monarch-GPT-2-Small,"Tri Dao, Beidi Chen, Nimit Sohoni, Arjun Desai, Michael Poli, Jessica Grogan, Alexander Liu, Aniruddh Rao, Atri Rudra, Christopher Ré",2022/04/01,2022,Monarch: Expressive Structured Matrices for Efficient and Accurate Training,28.0,,https://arxiv.org/pdf/2204.00595,7.20E+07,,,110,,,0.0,4000000000.0,1.90E+20,,4000000000.0,,20.7,,,0.0,1.0,0,0,Transformer,GPT,https://github.com/HazyResearch/monarch,,,,1,?,?,"Architecture: Transformer with Monarch matrices replacing dense weight matrices in attention blocks (projection matrices) and FFN blocks (linear layers). Number of blocks in block-diagonal matrices is 4.; Optimizer: AdamW; LR Schedule: See tables 9, 10, 11 to find specific values for learning rate, weight decay, drop path etc. 
Adoption of hyperparameters from Yuan et al. [107] (Table 9); Training: Gradient accumulation to fit in GPU memory, Mixed precision (fp16 and fp32), DeepSpeed ZeRO optimizer stage 1 to shard the optimizer states; Attention: Projection matrices in attention blocks are replaced by Monarch matrices; Regularization: Dropout regularization, Stochastic depth (reduced amount for Monarch models because they are smaller than dense models)., Weight decay (Table 9); Special Algorithms: Monarch matrix parametrization, Algorithm to project dense weight matrices into Monarch matrices; Initialization: Monarch matrices are initialized randomly and trained. Monarch matrices in mSENSE are intialized to IFFT; Other: Reverse sparsification: training with Monarch weight matrices for most of the time, then transitioning to dense weight matrices, 4-step FFT algorithm",,,,,,,,,,
139,"Mogrifier (d2, MoS2, MC) + dynamic eval","Gábor Melis, Tomáš Kočiský, Phil Blunsom",2019/09/04,2019,Mogrifier LSTM,109.0,,https://arxiv.org/abs/1909.01792,3.50E+07,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,WikiText-2,,38.6,,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/deepmind/lamb,,,,1,Word-level,33000,"Architecture: LSTM with Mogrifier module. The Mogrifier module consists of 'r' rounds of mutual gating between the input 'x' and the previous output 'h_prev'. Low-rank factorization is applied to the Q and R matrices used in the Mogrifier.; Optimizer: Adam with beta1 = 0, resembling RMSProp without momentum; LR Schedule: Not explicitly stated, but implied to be reduced upon validation set performance stagnation, switching to averaging weights after a certain number of checkpoints with no improvement or at 80% of training time.; Training: Gradient clipping (norm 10), Weight Averaging, BPTT, Dropout (input, inter-layer, state, output); Attention: Not applicable; Regularization: L2 penalty, Input Dropout, Inter-layer Dropout, State Dropout, Output Dropout; Special Algorithms: Mogrifier module for mutual gating of input and previous output; Initialization: Random initialization, multiplication with constant 2 to have transformations close to the identity; Other: Dynamic evaluation (optional)",,,,,,,,,,
